Mã tỉnh thành,Tỉnh thành,,Nam,,Nữ,,,Họ ,Tỉ lệ,Đệm 1 nam giới,Tỉ lệ,Đệm 1 nữ giới,Tỉ lệ,Đệm 2 nam giới,Tỉ lệ,Đệm 2 nữ giới,Tỉ lệ,Tên nam giới,Tỉ lệ,Tên nữ giới,Tỉ lệ
052,Bình Định,,,,,,,Lại,0.0019,Huy,0.0073,Nhật,0.004,Việt,0.00572,Nhã,0.00701,Nghĩa,0.009,Thanh,0.0075
054,Phú Yên,,,,,,,Hứa,0.0018,Võ,0.0072,Thái,0.0034,Phương,0.00565,Vân,0.00686,Thiện,0.0089,Tuyền,0.0072
056,Khánh Hòa,,,,,,,Thạch,0.0016,Hải,0.0067,Tường,0.0039,Xuân,0.00553,Trâm,0.00661,Hào,0.0088,Hằng,0.0072
058,Ninh Thuận,,,,,,,Diệp,0.0016,Thế,0.0067,Tuyết,0.0038,Chí,0.00553,Trà,0.00643,Hải,0.0084,Dương,0.0068
060,Bình Thuận,,,,,,,Từ,0.0016,Hồng,0.0066,Nhã,0.0038,Thế,0.00541,Tú,0.00559,Đăng,0.0083,Chi,0.0064
062,Kon Tum,,,,,,,Chu,0.0013,Khánh,0.0065,Thúy,0.0038,Phi,0.00517,Cát,0.00522,Quang,0.0080,Giang,0.0063
064,Gia Lai,,,,,,,La,0.0013,Trí,0.0063,Dương,0.0038,Khôi,0.00511,Uyên,0.0052,Lâm,0.0078,Tâm,0.0062
066,Đắk Lắk,,,,,,,Đàm,0.0013,Phước,0.0061,Hải,0.0037,Công,0.00499,Hoài,0.00491,Nhật,0.0076,Lam,0.0061
067,Đắk Nông,,,,,,,Tống,0.0013,Phú,0.0057,Thu,0.0035,Thiện,0.00483,Huyền,0.00459,Trung,0.0073,Tú,0.0056
068,Lâm Đồng,,,,,,,Giang,0.0011,Nguyên,0.0049,Lâm,0.0034,Hồng,0.00477,Huỳnh,0.00428,Thắng,0.0071,Ánh,0.0055
070,Bình Phước,,,,,,,Chung,0.0011,Việt,0.0048,Trúc,0.0033,Vĩnh,0.00471,Linh,0.0039,Tú,0.0068,Hiền,0.0055
072,Tây Ninh,,,,,,,Triệu,0.001,Mạnh,0.0048,Trương,0.0033,Bình,0.00359,Nhật,0.00374,Hùng,0.0066,Khánh,0.0053
074,Bình Dương,,,,,,,Kiều,0.00098,Bá,0.0047,Hoài,0.0032,Đình,0.00347,Hương,0.00373,Tâm,0.0064,Minh,0.0053
075,Đồng Nai,,,,,,,Hồng,0.00097,Trường,0.0045,Đoàn,0.0031,Đại,0.00328,Tâm,0.00368,Sang,0.0064,Huyền,0.0052
077,Bà Rịa - Vũng Tàu,,,,,,,Trang,0.00097,Vĩnh,0.0045,Ngô,0.0029,Lê,0.00328,An,0.00354,Sơn,0.0063,Thùy,0.005
079,Hồ Chí Minh,,,,,,,Đồng,0.00093,Hoài,0.0044,Tú,0.0029,Mạnh,0.00313,Diệu,0.00312,Thái,0.0063,Vi,0.0047
080,Long An,,,,,,,Danh,0.00089,Phan,0.0044,Cao,0.0028,Hiếu,0.00289,Ái,0.00286,Cường,0.0063,Ly,0.0046
082,Tiền Giang,,,,,,,Lư,0.00087,Cao,0.0042,Kiều,0.0028,Văn,0.00258,Ngân,0.00253,Vũ,0.0063,Dung,0.0043
083,Bến Tre,,,,,,,Lữ,0.00076,Đặng,0.004,Ánh,0.0028,Nhựt,0.00231,Đan,0.00246,Toàn,0.0062,Nhung,0.0042
084,Trà Vinh,,,,,,,Thân,0.00075,Hồ,0.0038,Phúc,0.0027,Kim,0.00222,Khả,0.00239,Ân,0.0059,Phúc,0.0041
086,Vĩnh Long,,,,,,,Kim,0.00067,Dương,0.0037,Bích,0.0024,Vũ,0.00219,Kỳ,0.00226,Thuận,0.0057,Lan,0.0041
087,Đồng Tháp,,,,,,,Mã,0.00063,Thiện,0.0036,Châu,0.0022,Kỳ,0.00213,Thị,0.00202,Bình,0.0055,Phụng,0.0039
089,An Giang,,,,,,,Bạch,0.00062,Lâm,0.0034,Bùi,0.0021,Long,0.0021,Quế,0.00202,Trường,0.0051,Ân,0.0037
091,Kiên Giang,,,,,,,Liêu,0.00059,Kim,0.0032,Khả,0.002,Bá,0.0021,Tố,0.00186,Danh,0.0050,Thi,0.0036
092,Cần Thơ,,,,,,,Tiêu,0.00056,Đỗ,0.0032,Vân,0.002,Đông,0.00207,Đông,0.00184,Kiên,0.0050,Khanh,0.0036
093,Hậu Giang,,,,,,,Dư,0.00054,Trương,0.0031,Đình,0.0018,Hùng,0.00198,Thái,0.00171,Phước,0.0046,Kỳ,0.0035
094,Sóc Trăng,,,,,,,Bành,0.00054,Đại,0.0029,Tâm,0.0017,Hưng,0.00198,Song,0.00168,Thiên,0.0045,Nga,0.0035
095,Bạc Liêu,,,,,,,Âu,0.00054,Viết,0.0027,Thục,0.0017,Khang,0.00185,Nam,0.00167,Tân,0.0045,Tường,0.0033
096,Cà Mau,,,,,,,Tôn,0.00053,Phi,0.0027,Bội,0.0016,Cao,0.00185,Phi,0.00157,Việt,0.0043,Thúy,0.0031
,,,,,,,,Khưu,0.00052,Phương,0.0026,Ái,0.0016,Kiến,0.00173,Hạnh,0.00152,Khải,0.0042,Mỹ,0.0031
,,,,,,,,Sơn,0.00047,Nam,0.0025,Lý,0.0016,Sơn,0.00164,Ý,0.00151,Tín,0.0041,Hoa,0.0031
,,,,,,,,Tất,0.00044,Đoàn,0.0025,Hương,0.0015,Nhất,0.00164,Thục,0.00143,Dương,0.0041,Tuyết,0.0031
,,,,,,,,Nghiêm,0.00044,Hà,0.0024,Nguyên,0.0015,Tùng,0.00152,Phúc,0.00134,Tùng,0.0040,Lâm,0.003
,,,,,,,,Lục,0.00043,Kiến,0.0023,Uyên,0.0015,Phát,0.00149,Châu,0.00119,Quý,0.0039,Thủy,0.003
,,,,,,,,Quan,0.00041,Ngô,0.0022,Thủy,0.0014,Lâm,0.00149,Tuệ,0.00118,Hậu,0.0039,Đan,0.0029
,,,,,,,,Phương,0.0004,Nhựt,0.0021,Trịnh,0.0014,Khải,0.00146,Uyển,0.00112,Trọng,0.0039,Hạnh,0.0029
,,,,,,,,Mạc,0.00039,Hiếu,0.002,Cẩm,0.0014,Thuận,0.00131,Nguyệt,0.00111,Triết,0.0034,Xuân,0.0029
,,,,,,,,Lai,0.00038,Bùi,0.0018,Đào,0.0014,Tâm,0.00122,Đoan,0.00111,Luân,0.0033,Oanh,0.0028
,,,,,,,,Vòng,0.00038,An,0.0018,Diệp,0.0013,Hạo,0.00119,Lê,0.0011,Phương,0.0033,Mẫn,0.0027
,,,,,,,,Mạch,0.00036,Hùng,0.0018,Tuệ,0.0013,Nhân,0.00119,Nguyên,0.00108,Quốc,0.0031,Khuê,0.0026
,,,,,,,,Thiều,0.00035,Chấn,0.0018,Diệu,0.0013,Triệu,0.00112,Mộng,0.00108,Thông,0.0030,Diệp,0.0026
,,,,,,,,Trà,0.00035,Bình,0.0018,Huệ,0.0013,Vinh,0.00109,Bình,0.00103,Khiêm,0.0029,Thương,0.0025
,,,,,,,,Đậu,0.00035,Khải,0.0016,Diễm,0.0013,Chấn,0.00109,Trang,0.00101,Hòa,0.0029,Nhiên,0.0025
,,,,,,,,Nhan,0.00034,Khắc,0.0016,Lan,0.0013,Tường,0.00106,Lam,0.00098,Thanh,0.0028,Băng,0.0025
,,,,,,,,Lã,0.00033,Khôi,0.0016,Cát,0.0013,Phong,0.00106,Hiền,0.0009,Tường,0.0025,Hồng,0.0022
,,,,,,,,Trình,0.00031,Mai,0.0014,Huyền,0.0013,Quý,0.001,Băng,0.00085,Kha,0.0025,Bình,0.0021
,,,,,,,,Ninh,0.00031,Châu,0.0013,An,0.0012,Nguyễn,0.001,Mẫn,0.00083,Vỹ,0.0023,Loan,0.002
,,,,,,,,Trầm,0.00029,Sỹ,0.0012,Linh,0.0012,Như,0.00097,Thụy,0.00074,Bách,0.0022,Thơ,0.002
,,,,,,,,Vi,0.00029,Vĩ,0.0012,Lưu,0.0011,Huỳnh,0.00094,Vy,0.00074,Khanh,0.0022,Phượng,0.0019
,,,,,,,,Biện,0.00029,Tùng,0.0012,Quế,0.0011,Song,0.00088,Hạ,0.00066,Mạnh,0.0022,Mi,0.0019
,,,,,,,,Hàng,0.00027,Lý,0.0012,Ngân,0.001,Thịnh,0.00076,Việt,0.00065,Lợi,0.0021,Nhã,0.0018
,,,,,,,,Ôn,0.00027,Long,0.0012,Đinh,0.001,Triều,0.00076,Hiếu,0.0006,Đại,0.0020,Nguyệt,0.0017
,,,,,,,,Chế,0.00027,Hưng,0.0011,Uyển,0.001,Châu,0.00076,Triệu,0.00056,Hiệp,0.0019,Bích,0.0016
,,,,,,,,Nhâm,0.00025,Hạo,0.0011,Triệu,0.001,Vương,0.00073,Trường,0.00054,Đông,0.0019,Đào,0.0016
,,,,,,,,Tôn Nữ,0.00025,Phát,0.0011,Trà,0.001,Tuần,0.00073,Lệ,0.00053,Nhựt,0.0018,Diễm,0.0015
,,,,,,,,Thi,0.00025,Như,0.0011,Song,0.001,Sỹ,0.00073,Phượng,0.0005,Giang,0.0018,Kiều,0.0015
,,,,,,,,Doãn,0.00024,Đinh,0.0011,Bình,0.00093,Tài,0.0007,Diệp,0.00049,Kỳ,0.0017,Hiếu,0.0014
,,,,,,,,Khổng,0.00024,Quý,0.0011,Nguyệt,0.00091,Hà,0.0007,Lâm,0.00046,Phi,0.0017,Di,0.0013
,,,,,,,,Phù,0.00022,Đắc,0.0011,Trang,0.0009,Hoàn,0.00067,Thy,0.00045,Tấn,0.0017,Liên,0.0013
,,,,,,,,Đường,0.00022,Vinh,0.001,Mẫn,0.0009,Khắc,0.00064,Bé,0.00044,Văn,0.0016,Trà,0.0013
,,,,,,,,Ông,0.00022,Nhất,0.001,Kỳ,0.00087,Linh,0.00061,Yên,0.00044,Vương,0.0016,Tuệ,0.0013
,,,,,,,,Tôn Thất,0.00022,Đông,0.001,Trâm,0.00085,Toàn,0.00058,Khải,0.00042,Công,0.0015,Thắm,0.0013
,,,,,,,,Ngụy,0.00022,Lương,0.001,Hạnh,0.00083,Tần,0.00052,Tiểu,0.00042,Hiển,0.0015,Diệu,0.0012
,,,,,,,,Viên,0.00022,Kỳ,0.001,Lương,0.00081,Viết,0.00052,Huệ,0.00042,Linh,0.0014,Quân,0.0012
,,,,,,,,Tào,0.00021,Trịnh,0.001,Vương,0.0008,Hòa,0.00052,Phước,0.00041,Ngọc,0.0014,Nhàn,0.0012
,,,,,,,,Cù,0.00021,Thuận,0.001,Tiểu,0.00079,Bách,0.00049,Đỗ,0.00041,Vĩ,0.0014,Doanh,0.0012
